运输方式代码,中文名称,仓库
ZZSDXS,郑州E邮宝线上,CNZF01 [郑州仓]
SZZYPY,深圳邮政小包平邮,SZ01 [深圳1号仓]
SZZYPY,深圳邮政小包平邮,GZ01 [广州1号仓]
SZZYPY,深圳邮政小包平邮,SZ03 [深圳3号仓]
SZZYPY,深圳邮政小包平邮,SZBT [深圳坂田仓]
SYSYPY,顺邮宝平邮,SZ01 [深圳1号仓]
SYSYPY,顺邮宝平邮,GZ01 [广州1号仓]
SYSYPY,顺邮宝平邮,SZ03 [深圳3号仓]
SYSYPY,顺邮宝平邮,SZBT [深圳坂田仓]
SYSYGH,顺邮宝挂号,SZ01 [深圳1号仓]
SYSYGH,顺邮宝挂号,GZ01 [广州1号仓]
SYSYGH,顺邮宝挂号,SZ03 [深圳3号仓]
SYSYGH,顺邮宝挂号,SZBT [深圳坂田仓]
SYSYPP,顺邮宝平邮plus,SZ01 [深圳1号仓]
SYSYPP,顺邮宝平邮plus,GZ01 [广州1号仓]
SYSYPP,顺邮宝平邮plus,SZ03 [深圳3号仓]
SYSYPP,顺邮宝平邮plus,SZBT [深圳坂田仓]
SYSYGP,顺邮宝挂号plus,SZ01 [深圳1号仓]
SYSYGP,顺邮宝挂号plus,GZ01 [广州1号仓]
SYSYGP,顺邮宝挂号plus,SZ03 [深圳3号仓]
SYSYGP,顺邮宝挂号plus,SZBT [深圳坂田仓]
GZSDXX,广州E邮宝线下,GZ01 [广州1号仓]
GZSDEM,广州EMS速递,GZ01 [广州1号仓]
DGM-PKD,普通小包非挂号(平邮),SZ01 [深圳1号仓]
DGM-PKD,普通小包非挂号(平邮),GZ01 [广州1号仓]
DGM-PKD,普通小包非挂号(平邮),SZ03 [深圳3号仓]
DGM-PKD,普通小包非挂号(平邮),SZBT [深圳坂田仓]
DGM-PPS,普通小包挂号,SZ01 [深圳1号仓]
DGM-PPS,普通小包挂号,GZ01 [广州1号仓]
DGM-PPS,普通小包挂号,SZ03 [深圳3号仓]
DGM-PPS,普通小包挂号,SZBT [深圳坂田仓]
WINIT-EDS-MYPY3,万邑通易递宝马邮平邮,GZ01 [广州1号仓]
WINIT-EDS-ZY3,万邑通易递宝中邮+平邮,GZ01 [广州1号仓]
YWZYPY,燕文中邮平邮,GZ01 [广州1号仓]
YWWYGH,燕文WISH邮挂号,GZ01 [广州1号仓]
YWWYPY,燕文WISH邮平邮,GZ01 [广州1号仓]
SYMYPY,马邮小包平邮,SZ01 [深圳1号仓]
SYMYPY,马邮小包平邮,GZ01 [广州1号仓]
SYMYPY,马邮小包平邮,SZ03 [深圳3号仓]
SYMYPY,马邮小包平邮,SZBT [深圳坂田仓]
SYMYGH,马邮小包挂号,SZ01 [深圳1号仓]
SYMYGH,马邮小包挂号,GZ01 [广州1号仓]
SYMYGH,马邮小包挂号,SZ03 [深圳3号仓]
SYMYGH,马邮小包挂号,SZBT [深圳坂田仓]
GZSDXS,广州E邮宝线上,GZ01 [广州1号仓]
WINIT-EDS-DHL,万邑通易递宝DHL,SZ01 [深圳1号仓]
WINIT-EDS-DHL,万邑通易递宝DHL,GZ01 [广州1号仓]
WINIT-EDS-DHL,万邑通易递宝DHL,SZ03 [深圳3号仓]
WINIT-EDS-DHL,万邑通易递宝DHL,SZBT [深圳坂田仓]
WINIT-EDS-XGPY3,万邑通易递宝香港平邮,GZ01 [广州1号仓]
YWZYGH,燕文中邮挂号,GZ01 [广州1号仓]
TYTBUKGH,通邮宝英国挂号,SZ01 [深圳1号仓]
TYTBUKGH,通邮宝英国挂号,GZ01 [广州1号仓]
TYTBUKGH,通邮宝英国挂号,SZ03 [深圳3号仓]
TYTBUKBC,通邮宝英国半程,SZ01 [深圳1号仓]
TYTBUKBC,通邮宝英国半程,GZ01 [广州1号仓]
TYTBFDX,通邮宝FedEx美国,SZ01 [深圳1号仓]
TYTBFDX,通邮宝FedEx美国,GZ01 [广州1号仓]
4PX-LT-UK48P,递四方联邮通英国平邮48,GZ01 [广州1号仓]
4PX-LT-UK24P,递四方联邮通英国平邮24,SZ01 [深圳1号仓]
4PX-LT-UK24P,递四方联邮通英国平邮24,GZ01 [广州1号仓]
4PX-LT-UK24P,递四方联邮通英国平邮24,SZ03 [深圳3号仓]
UBI-AU-XS,UBI澳大利亚线上,SZ01 [深圳1号仓]
UBI-AU-XS,UBI澳大利亚线上,GZ01 [广州1号仓]
UBI-AU-XS,UBI澳大利亚线上,SZ03 [深圳3号仓]
UBI-AU-XS,UBI澳大利亚线上,SZBT [深圳坂田仓]
UBI-NZ-QC,UBI新西兰全程,SZ01 [深圳1号仓]
UBI-NZ-QC,UBI新西兰全程,GZ01 [广州1号仓]
UBI-NZ-QC,UBI新西兰全程,SZ03 [深圳3号仓]
UBI-NZ-QC,UBI新西兰全程,SZBT [深圳坂田仓]
UBI-NZ-BC,UBI新西兰半程,SZ01 [深圳1号仓]
UBI-NZ-BC,UBI新西兰半程,GZ01 [广州1号仓]
UBI-NZ-BC,UBI新西兰半程,SZ03 [深圳3号仓]
UBI-NZ-BC,UBI新西兰半程,SZBT [深圳坂田仓]
UBI-CA-QC,UBI加拿大全程,SZ01 [深圳1号仓]
UBI-CA-QC,UBI加拿大全程,GZ01 [广州1号仓]
UBI-CA-QC,UBI加拿大全程,SZ03 [深圳3号仓]
UBI-CA-QC,UBI加拿大全程,SZBT [深圳坂田仓]
4PX-LT-UKJG,递四方联邮通英国挂号经济,SZ01 [深圳1号仓]
4PX-LT-UKJG,递四方联邮通英国挂号经济,GZ01 [广州1号仓]
4PX-LT-UKJG,递四方联邮通英国挂号经济,SZ03 [深圳3号仓]
4PX-LT-UKJG,递四方联邮通英国挂号经济,SZBT [深圳坂田仓]
4PX-LT-UKBG,递四方联邮通英国挂号标准,SZ01 [深圳1号仓]
4PX-LT-UKBG,递四方联邮通英国挂号标准,GZ01 [广州1号仓]
4PX-LT-UKBG,递四方联邮通英国挂号标准,SZ03 [深圳3号仓]
4PX-LT-UKBG,递四方联邮通英国挂号标准,SZBT [深圳坂田仓]
YLRSPY,瑞士小包平邮,SZ01 [深圳1号仓]
YLRSPY,瑞士小包平邮,SZ03 [深圳3号仓]
YLRSPY,瑞士小包平邮,SZBT [深圳坂田仓]
YLRSGH,瑞士小包挂号,SZ01 [深圳1号仓]
YLRSGH,瑞士小包挂号,SZ03 [深圳3号仓]
YLRSGH,瑞士小包挂号,SZBT [深圳坂田仓]
YLHLPY,荷兰小包平邮,SZ01 [深圳1号仓]
YLHLPY,荷兰小包平邮,SZ03 [深圳3号仓]
YLHLPY,荷兰小包平邮,SZBT [深圳坂田仓]
YLHLGH,荷兰小包挂号,SZ01 [深圳1号仓]
YLHLGH,荷兰小包挂号,SZ03 [深圳3号仓]
YLHLGH,荷兰小包挂号,SZBT [深圳坂田仓]
SZSDXX,深圳E邮宝线下,SZ01 [深圳1号仓]
SZSDXX,深圳E邮宝线下,SZ03 [深圳3号仓]
SZSDXX,深圳E邮宝线下,SZBT [深圳坂田仓]
SZSDEM,深圳EMS速递,SZ01 [深圳1号仓]
SZSDEM,深圳EMS速递,SZ03 [深圳3号仓]
SZSDEM,深圳EMS速递,SZBT [深圳坂田仓]
WINIT-EDS-MYPY,万邑通易递宝马邮平邮,SZ01 [深圳1号仓]
WINIT-EDS-MYPY,万邑通易递宝马邮平邮,SZ03 [深圳3号仓]
WINIT-EDS-MYPY,万邑通易递宝马邮平邮,SZBT [深圳坂田仓]
TYLAPY-A,通邮老挝平邮A,SZ01 [深圳1号仓]
TYLAPY-A,通邮老挝平邮A,SZ03 [深圳3号仓]
TYLAPY-A,通邮老挝平邮A,SZBT [深圳坂田仓]
TYLAGH,通邮老挝挂号,SZ01 [深圳1号仓]
TYLAGH,通邮老挝挂号,SZ03 [深圳3号仓]
TYLAGH,通邮老挝挂号,SZBT [深圳坂田仓]
WINIT-EDS-ZY1,万邑通易递宝中邮+平邮,SZ01 [深圳1号仓]
WINIT-EDS-ZY1,万邑通易递宝中邮+平邮,SZ03 [深圳3号仓]
WINIT-EDS-ZY1,万邑通易递宝中邮+平邮,SZBT [深圳坂田仓]
SZZYGH,深圳邮政小包挂号,SZ01 [深圳1号仓]
SZZYGH,深圳邮政小包挂号,SZ03 [深圳3号仓]
SZZYGH,深圳邮政小包挂号,SZBT [深圳坂田仓]
SZSDXS,深圳E邮宝线上,SZ01 [深圳1号仓]
SZSDXS,深圳E邮宝线上,SZ03 [深圳3号仓]
SZSDXS,深圳E邮宝线上,SZBT [深圳坂田仓]
SZSDHD,深圳E邮宝含电,SZ01 [深圳1号仓]
SZSDHD,深圳E邮宝含电,SZ03 [深圳3号仓]
SZSDHD,深圳E邮宝含电,SZBT [深圳坂田仓]
WINIT-EDS-XGPY,万邑通易递宝香港平邮,SZ01 [深圳1号仓]
WINIT-EDS-XGPY,万邑通易递宝香港平邮,SZ03 [深圳3号仓]
WINIT-EDS-XGPY,万邑通易递宝香港平邮,SZBT [深圳坂田仓]
TYLAPY-B,通邮老挝平邮B,SZ01 [深圳1号仓]
TYLAPY-B,通邮老挝平邮B,SZ03 [深圳3号仓]
TYLAPY-B,通邮老挝平邮B,SZBT [深圳坂田仓]
